wAja wAja
badZI badZA
JIla JIla
ke ke
sAmane sAmane
PElA PEla
hE hE
. .
yaha yaha
eka eka
prAgEwihAsika prAgEwihAsika
sWala sWala
para para
hE hE
Ora Ora
viSva viSva
meM meM
apanI apanA
waraha waraha
kA kA
eka eka
hI hI
saMgrahAlaya saMgrahAlaya
hE hE
jo jo
prAgEwihAsika prAgEwihAsika
ciwrakalA ciwrakalA
se se
sajjiwa sajjiwa
guPAoM guPA
ke ke
samIpa samIpa
hE hE
. .
Ora Ora
isa yaha
waraha waraha
se se
yaha yaha
vaswuoM vaswu
Ora Ora
paraMparAoM paraMparA
se se
jIvaMwa jIvaMwa
rUpa rUpa
se se
judZA judZa
huA ho
hE hE
. .
loka _
evaM evaM
AxivAsI _
kalA kalA
va va
paraMparA paraMparA
yahAz yahAz
irxa irxa
- -
girxa girxa
hI hI
mOjUxa mOjUxa
hEM hE
. .
yahAz yahAz
AxivAsI AxivAsI
, COMMA
samuxra samuxra
kinAre kinArA
, COMMA
regiswAna regiswAna
Ora Ora
himAlaya himAlaya
ke kA
AvAsoM AvAsa
ke kA
namUne namUnA
BI BI
banAe banA
gae jA
hEM hE
. .
yahAz yahAz
saMgrahAlaya saMgrahAlaya
meM meM
puswakAlaya puswakAlaya
, COMMA
xqSya xqSya
- -
Srqvya Srqvya
ArkAiva ArkAiva
, COMMA
kaMpyUtarIkqwa kaMpyUtarIkqwa
kakRa kakRa
va va
prajAwIya prajAwIya
namUnoM namUnA
ko ko
xeKA xeKa
jAwA jA
hE hE
. .
SAsakIya SAsakIya
purAwAwvika purAwAwvika
saMgrahAlaya saMgrahAlaya
yahAz yahAz
maXya maXya
praxeSa praxeSa
ke kA
viBinna viBinna
hissoM hissA
se se
kalA kalA
ke kA
KUbasUrawa KUbasUrawa
namUne namUnA
ekawriwa ekawriwa
karake kara
raKe raKa
gae jA
hEM hE
. .
saMgrahAlaya saMgrahAlaya
somavAra somavAra
ko ko
baMxa baMxa
rahawA raha
hE hE
. .
suMxara sunxara
wAloM wAla
vAlA vAlA
BopAla BopAla
lakRmI lakRmI
nArAyaNa nArAyaNa
maMxira maMxira
Ora Ora
saMgrahAlaya saMgrahAlaya
yaha yaha
arerA arerA
hilsa hila
para para
sWiwa sWiwa
hE hE
. .
isase yaha
lagA laga
huA ho
eka eka
saMgrahAlaya saMgrahAlaya
hE hE
jahAz jahAz
maXyapraxeSa maXyapraxeSa
ke kA
rAyasena rAyasena
, COMMA
sIhora sIhora
, COMMA
maMxasOra maMxasOra
Ora Ora
Sahadola Sahadola
jiloM jilA
se se
ekawriwa ekawriwa
kalA kalA
namUnoM namUnA
ko ko
raKA raKa
gayA jA
hE hE
. .
yaha yaha
saMgrahAlaya saMgrahAlaya
BI BI
somavAra somavAra
ko ko
CodZakara CodZa
pUre pUrA
sapwAha sapwAha
9 9
baje baje
se se
5 5
baje baje
waka waka
KulA Kula
rahawA raha
hE hE
. .
vana vana
- -
vihAra vihAra
badZI badZA
JIla JIla
se se
lagI laga
pahAdZI pahAdZI
para para
yaha yaha
saPArI saPArI
uxyAna uxyAna
sWiwa sWiwa
hE hE
. .
yaha yaha
445 445
hEkteyara hEkteyara
meM meM
PElA PEla
hE hE
. .
prAkqwika prAkqwika
suMxarawA suMxarawA
ke ke
bIca bIca
Apa Apa
viBinna viBinna
prakAra prakAra
ke kA
SAkAhArI SAkAhArI
Ora Ora
mAzsAhArI mAzsAhArI
prANiyoM prANI
ko ko
xeKane xeKa
kA kA
AnaMxa AnaMxa
uTA uTA
sakawe saka
hEM hE
. .
yaha yaha
maMgalavAra maMgalavAra
ko ko
CodZakara CodZa
hara hara
xina xina
subaha subaha
7 7
se se
11 11
Ora Ora
3 3
se se
5 5
baje baje
SAma SAma
waka waka
KulA Kula
rahawA raha
hE hE
. .
kRewrIya kRewrIya
vijFAna vijFAna
keMxra keMxra
yaha yaha
mUla mUla
rUpa rUpa
se se
vijFAna vijFAna
saMgrahAlaya saMgrahAlaya
hE hE
jo jo
SyAmalA SyAmalA
hilsa hila
kI kA
KUbasUrawI KUbasUrawI
ke ke
bIca bIca
sWiwa sWiwa
hE hE
. .
yahAz yahAz
inveMSana inveMSana
Ora Ora
Pana Pana
sAiMsa sAiMsa
gElarI gElarI
hEM hE
Ora Ora
eka eka
wArAmaMdala wArAmaMdala
nAma nAma
kA kA
pleneteriyama pleneteriyama
BI BI
hE hE
. .
yaha yaha
somavAra somavAra
ko ko
CodZakara CodZa
hara hara
xina xina
subaha subaha
10.30 10.30
se se
6.30 6.30
waka waka
KulA Kula
rahawA raha
hE hE
. .
cOka cOka
Sahara Sahara
ke ke
bIca bIca
sWiwa sWiwa
cOka cOka
meM meM
purAnI purAnA
masjixa masjixa
, COMMA
haveliyAz havelI
awIwa awIwa
kI kA
smqwi smqwi
xilAwe xilA
hEM hE
. .
sazkarI sazkarA
galiyoM galI
meM meM
sWiwa sWiwa
xukAneM xukAna
hEM hE
jinameM jo
Silpa Silpa
ke kA
KajAne KajAnA
Kule Kula
hue ho
hEM hE
. .
yahAz yahAz
Apa Apa
cAzxI cAzxI
ke kA
ABURaNa ABURaNa
, COMMA
bIdavarka bIdavarka
, COMMA
kaDZAI kaDZAI
kA kA
kAma kAma
Ora Ora
sIkvana sIkvana
kA kA
kAma kAma
KUbasUrawa KUbasUrawa
aMxAja aMxAja
meM meM
xeKa xeKa
Ora Ora
KarIxa KarIxa
sakawe saka
hEM _
. .
CotI CotA
JIla JIla
Ora Ora
badZI badZA
JIla JIla
badZI badZA
JIla JIla
CotI CotA
JIla JIla
se se
eka eka
ovarabrija ovarabrija
se se
alaga alaga
howI ho
hE hE
. .
ma.pra. ma.pra.
paryatana paryatana
bota bota
klaba klaba
badZI badZA
JIla JIla
meM meM
nOkAyana nOkAyana
BI BI
karavAwA karavA
hE hE
. .
ekveriyama ekveriyama
CotI CotA
JIla JIla
meM meM
eka eka
maCalI maCalI
ke kA
AkAra AkAra
kA kA
ekveriyama ekveriyama
hE hE
. .
kEse kEse
pahuzce pahuzca
? ?
vAyu vAyu
sevA sevA
- -
xillI xillI
gvAliyara gvAliyara
, COMMA
iMxOra iMxOra
Ora Ora
muMbaI muMbaI
se se
BopAla BopAla
ke ke
lie lie
niyamiwa niyamiwa
vimAna vimAna
sevA sevA
hE hE
. .
rela rela
sevA sevA
- -
BopAla BopAla
, COMMA
xillI xillI
- -
maxrAsa maxrAsa
mena mena
lAina lAina
para para
hE hE
. .
muMbaI muMbaI
se se
itArasI itArasI
Ora Ora
JAzsI JAzsI
ke kA
rAswe rAswA
xillI xillI
jAne jA
vAlI vAlA
muKya muKya
gAdZiyAz gAdZI
BopAla BopAla
hokara ho
jAwI jA
hEM hE
. .
sadZaka sadZaka
mArga mArga
- -
BopAla BopAla
waWA waWA
iMxOra iMxOra
, COMMA
mAMdU mAMdU
, COMMA
ujjEna ujjEna
, COMMA
KajurAho KajurAho
, COMMA
pacamaDZI pacamaDZI
, COMMA
gvAliyara gvAliyara
, COMMA
sAzcI sAzcI
, COMMA
jabalapura jabalapura
Ora Ora
SivapurI SivapurI
ke ke
bIca bIca
niyamiwa niyamiwa
basa basa
sevAez sevA
hEM hE
. .
Taharane Tahara
ke ke
lie lie
- -
maXyapraxeSa maXyapraxeSa
paryatana paryatana
vikAsa vikAsa
nigama nigama
ke kA
hotala hotala
waWA waWA
nijI nijI
hotala hotala
hEM hE
. .
kaba kaba
jAez jA
? ?
varRa varRa
meM meM
kaBI kaBI
BI BI
Apa Apa
yahAz yahAz
jA jA
sakawe saka
hEM hE
. .
vEBavapUrNa vEBavapUrNa
oraCA oraCA
- -
oraCA oraCA
kA kA
vEBava vEBava
pawWaroM pawWara
meM meM
jEse jEse
kExa kExa
ho ho
gayA jA
hE hE
, COMMA
samaya samaya
yahAz yahAz
TaharA Tahara
huA ho
lagawA laga
hE hE
Ora Ora
hama hama
cale cala
jAwe jA
hEM hE
barasoM barasa
barasa barasa
pICe pICe
, COMMA
maXyakAla maXyakAla
ke kA
eka eka
Sahara Sahara
meM meM
. .
jahAz jahAz
ke kA
maMxiroM maMxira
Ora Ora
mahaloM mahala
kI kA
camaka camaka
ko ko
samaya samaya
kI kA
XuMXa XuMXa
BI BI
XuzXalA XuzXalA
nahIM nahIM
sakI saka
hE hE
. .
16 16
se se
17vIM 17vAz
SawAbxI SawAbxI
meM meM
buMxelA buMxelA
SAsakoM SAsaka
xvArA xvArA
banavAI bana
gaI jA
ye yaha
imAraweM imArawa
prAcIna prAcIna
vEBava vEBava
ko ko
bayAz bayAz
karawI kara
hEM hE
. .
oraCA oraCA
, COMMA
16vIM 16vAz
SawAbxI SawAbxI
meM meM
buMxelA buMxelA
rAjapUwa rAjapUwa
ruxra ruxra
prawApa prawApa
ke ke
xvArA xvArA
basAyA basA
gayA jA
WA WA
. .
unake vaha
Age Age
ke kA
rAjAoM rAjA
ne ne
SAnaxAra SAnaxAra
imAraweM imArawa
Ora Ora
Bavana Bavana
banavAkara banavA
isakI yaha
SAna SAna
meM meM
cAra cAra
cAzxa cAzxa
lagA lagA
xie xe
. .
jinameM jo
rAjA rAjA
bIra bIra
siMha siMha
jUxeva jUxeva
kA kA
nAma nAma
pramuKa pramuKa
hE hE
. .
ye yaha
Bavana Bavana
bAhara bAhara
se se
xiKane xiKa
meM meM
jiwane jiwanA
KUbasUrawa KUbasUrawa
hEM hE
uwane uwanA
hI hI
aMxara aMxara
se se
BI BI
NULL _
. .
BIwara BIwara
se se
BI BI
inakA yaha
sOMxarya sOMxarya
kisI koI
mAyane mAyane
meM meM
kama kama
nahIM nahIM
hE hE
. .
maMxiroM maMxira
Ora Ora
mahaloM mahala
meM meM
buMxelA buMxelA
kalA kalA
kI kA
KUbasUrawa KUbasUrawa
kalAkArI kalAkArI
xeKawe xeKa
hI hI
banawI bana
hE hE
. .
lakRmInArAyaNa lakRmInArAyaNa
maMxira maMxira
Ora Ora
rAjamahala rAjamahala
kI kA
xIvAreM xIvAra
Ora Ora
CawoM Cawa
kI kA
kalAwmakawA kalAwmakawA
yahAz yahAz
kI kA
samqxXi samqxXi
kI kA
kahAnI kahAnI
kahawIM kaha
hEM hE
. .
jahAzgIra jahAzgIra
mahala mahala
yaha yaha
mahala mahala
rAjA rAjA
bIra bIra
siMha siMha
jUxeva jUxeva
ne ne
17vIM 17vAz
SawAbxI SawAbxI
meM meM
jahAzgIra jahAzgIra
ke ke
oraCA oraCA
Ane A
ke ke
pahale pahale
banavAyA bana
WA WA
. .
isakI yaha
majabUwa majabUwa
xIvAroM xIvAra
ke ke
sAWa sAWa
nAjukI nAjukI
se se
banI bana
huI ho
CawariyAz CawarI
kamAla kamAla
kA kA
saMwulana saMwulana
banAwI banA
hEM hE
Ora Ora
isase yaha
pUrI pUrA
imArawa imArawa
awyaMwa awyanwa
samqxXipUrNa samqxXipUrNa
praBAva praBAva
xewI xe
hE hE
. .
rAja rAja
mahala mahala
cawurBuja cawurBuja
ke kA
AkAra AkAra
kA kA
yaha yaha
mahala mahala
17vIM 17vAz
SawAbxI SawAbxI
meM meM
maXukara maXukara
SAha SAha
ne ne
banavAyA banavA
WA WA
. .
Upara Upara
kI kA
ora ora
SAnaxAra SAnaxAra
CawariyAz CawarI
isakI yaha
SoBA SoBA
baDZAwI baDZA
hEM hE
. .
aMxara aMxara
XArmikawA XArmikawA
ko ko
lie le
hue ho
SoKa SoKa
raMgoM raMga
kI kA
anoKI anoKA
Silpa Silpa
kalAkqwiyAz kalAkqwi
hEM hE
. .
sitI sitI
OYPa OYPa
jOYya jOYya
- -
mAMdU mAMdU
SAhI SAhI
mahala mahala
- -
jahAja jahAja
mahala mahala
yaha yaha
xo xo
kqwrima kqwrima
wAlAboM wAlAba
muMja muMja
wAlAba wAlAba
Ora Ora
kApura kApura
wAlAba wAlAba
ke ke
bIca bIca
banA bana
hE hE
. .
saMBavawaH saMBavawaH
yaha yaha
sulwAna sulwAna
gayAsuxxIna gayAsuxxIna
KilajI KilajI
ne ne
badZe badZA
harama harama
ke ke
rUpa rUpa
meM meM
banavAyA bana
WA WA
. .
isake yaha
Kule KulA
galiyAre galiyArA
, COMMA
bAhara bAhara
nikalI nikala
huI ho
bAlakanI bAlakanI
Ora Ora
KUbasUrawa KUbasUrawa
Cawa Cawa
SAhI SAhI
SOka SOka
ko ko
AsAnI AsAnI
se se
bayAz bayAz
karawe kara
hEM hE
. .
rAwa rAwa
ke ke
samaya samaya
ise yaha
wavelI wavelI
mahala mahala
se se
nihAranA nihAra
bahuwa bahuwa
suKaxAyI suKaxAyI
hE hE
. .
hiMdolA hiMdolA
mahala mahala
yaha yaha
xarSakoM xarSaka
ke ke
lie lie
bETaka bETaka
vyavasWA vyavasWA
ke ke
rUpa rUpa
meM meM
banAyA banA
gayA jA
WA WA
. .
isake yaha
Asa Asa
- -
pAsa pAsa
kI kA
xIvAreM xIvAra
kuCa kuCa
JukI Juka
huI ho
sI sA
hEM hE
jisake jo
kAraNa kAraNa
ise yaha
hiMdolA hiMdolA
mahala mahala
kahA kaha
jAwA jA
hE hE
. .
baluA baluA
pawWaroM pawWara
meM meM
nakkASI nakkASI
kA kA
nAyAba nAyAba
namUnA namUnA
yahAz yahAz
xeKane xeKa
ko ko
milawA mila
hE hE
. .
yahAz yahAz
ke kA
KUbasUrawa KUbasUrawa
swaMBa swaMBa
mana mana
moha moha
lewe le
hEM hE
. .
isI yaha
mahala mahala
ke ke
pAsa pAsa
kaI kaI
Cote CotA
- -
Cote CotA
Bavana Bavana
hEM hE
jo jo
apane apanA
awIwa awIwa
kI kA
kahAnI kahAnI
kahawe kaha
hEM hE
. .
inhIM yaha
ke ke
bIca bIca
caMpA caMpA
bAvadZI bAvadZI
hE hE
jo jo
aMxara aMxara
hI hI
aMxara aMxara
kamaroM kamarA
se se
judZI judZa
hE hE
, COMMA
NULL _
isake yaha
mAXyama mAXyama
se se
garma garma
va va
TaMde TaMdA
pAnI pAnI
kA kA
prabaMXa prabaMXa
kiyA kara
jAwA jA
WA WA
. .
yahIM yahIM
para para
xilAvara xilAvara
KAna KAna
kI kA
masjixa masjixa
, COMMA
nAhara nAhara
JaroKA JaroKA
, COMMA
NULL _
xo xo
badZe badZA
kuze kuzyA
ujalI ujalA
Ora Ora
azXerI azXerA
bAvadZI bAvadZI
hEM hE
. .
hoSaMgaSAha hoSaMgaSAha
kA kA
makabarA makabarA
BArawa BArawa
meM meM
apanI apanA
waraha waraha
kA kA
pahalA pahalA
saMgamaramara saMgamaramara
kA kA
namUnA namUnA
NULL _
. !
yaha yaha
aPagAnI aPagAnI
kalA kalA
kA kA
bejodZa bejoda
uxAharaNa uxAharaNa
hE hE
. .
isakA yaha
guMbaxa guMbaxa
xeKane xeKa
lAyaka lAyaka
hE hE
, COMMA
NULL _
nAjukI nAjukI
lie le
hue ho
nakkASI nakkASI
Ora Ora
suMxara sunxara
mInAroM mInAra
ke ke
kAraNa kAraNa
yaha yaha
mana mana
moha moha
lewA le
hE hE
. .
isake yaha
guMbaxa guMbaxa
se se
mohiwa mohiwa
hokara ho
SAhajahAz SAhajahAz
ne ne
wAja wAja
mahala mahala
banAne banA
ke ke
pahale pahale
apane apanA
cAra cAra
sWApawya sWApawya
viSeRajFoM viSeRajFa
ko ko
yahAz yahAz
BejA Beja
WA WA
. .
jAmA jAmA
masjixa masjixa
bIca bIca
meM meM
badZA badZA
sA sA
guMbaxa guMbaxa
NULL _
jisake jo
pICe pICe
bahuwa bahuwa
se sA
guMbaxa guMbaxa
hEM hE
NULL _
bIca bIca
ke kA
sWAna sWAna
meM meM
BI BI
kuCa kuCa
Cote CotA
guMbaxa.. guMbaxa..
NULL _
pUrI pUrA
racanA racanA
sarala sarala
NULL _
lekina lekina
mana mana
mohane moha
vAlI vAlA
hE hE
. .
masjixa masjixa
kA kA
galiyArA galiyArA
KaMBoM KaMBA
Ora Ora
Arcesa Arca
se se
sajA saja
huA ho
hE hE
. .
revA revA
kuMda kuMda
ise yaha
rUpamawI rUpamawI
ke kA
mahala mahala
meM meM
pAnI pAnI
pahuzcAne pahuzcA
ke ke
lie lie
banAyA banA
gayA jA
WA WA
. .
aba aba
yaha yaha
eka eka
paviwra paviwra
sWAna sWAna
ke ke
rUpa rUpa
meM meM
jAnA jAna
jAwA jA
hE hE
. .
sitI sitI
OYPa OYPa
jOYya jOYya
- :
mAMdU mANdU
bAja bAja
bahAxura bahAxura
kA kA
mahala mahala
16vIM 16vAM
SawAbxI SawAbxI
meM meM
banavAyA banavA
gayA jA
yaha yaha
mahala mahala
badZe badZA
- -
badZe badZA
galiyAroM galiyArA
, COMMA
kakRoM kakRa
Ora Ora
UzcI UzcA
CawoM Cawa
ke ke
kAraNa kAraNa
Bavya Bavya
lagawA laga
hE hE
. .
yahAz yahAz
se se
pUre pUrA
mAMdU mANdU
kA kA
vihaMgama vihaMgama
xqSya xqSya
xeKA xeKa
jA jA
sakawA saka
hE hE
. .
rUpamawI rUpamawI
JaroKA JaroKA
yaha yaha
sEnikoM sEnika
ke ke
lie lie
pUre pUrA
kRewra kRewra
para para
nigAha nigAha
raKane raKa
ke ke
lie lie
banAyA banA
gayA jA
WA WA
. .
isa yaha
Bavya Bavya
imArawa imArawa
se se
bAja bAja
bahAxura bahAxura
ke kA
mahala mahala
Ora Ora
nimAdZa nimAdZa
ke kA
mExAna mExAna
meM meM
baha baha
rahI raha
narmaxA narmaxA
naxI naxI
ke kA
xarSana xarSana
kie kara
jA jA
sakawe saka
hEM hE
. .
kahA kaha
jAwA jA
hE hE
ki ki
rAnI rAnI
ke kA
prawixina prawixina
narmaxA narmaxA
xarSana xarSana
ke ke
paScAwa paScAwa
anna anna
- -
jala jala
grahaNa grahaNa
karane kara
kI kA
Axawa Axawa
ke ke
kAraNa kAraNa
bAja bAja
bahAxura bahAxura
ne ne
yaha yaha
UzcA UzcA
mahala mahala
banavAyA banavA
WA WA
. .
anya anya
sWala sWala
nIlakaMTa nIlakaMTa
yahAz yahAz
SivajI Siva
kA kA
maMxira maMxira
hE hE
jisameM jo
jAne jA
ke ke
lie lie
aMxara aMxara
sIDZI sIDZI
uwarakara uwara
jAnA jA
padZawA padZa
hE hE
. .
isa yaha
maMxira maMxira
ke kA
sOMxarya sOMxarya
ko ko
SabxoM Sabxa
meM meM
bayAz bayAz
nahIM nahIM
kiyA kara
jA jA
sakawA saka
. .
Upara Upara
pedZoM pedZa
se se
Gire Gira
wAlAba wAlAba
se se
eka eka
XAra XAra
nIce nIce
SivajI Siva
kA kA
aBiReka aBiReka
karawI kara
jAwI jA
hE hE
. .
nIlakaMTa nIlakaMTa
mahala mahala
maMxira maMxira
ke ke
samIpa samIpa
sWiwa sWiwa
isa yaha
mahala mahala
kA kA
nirmANa nirmANa
SAha SAha
baxagA baxagA
KAna KAna
ne ne
akabara akabara
kI kA
hiMxU hiMxU
pawnI pawnI
ke ke
lie lie
karavAyA karavA
WA WA
. .
isakI yaha
xIvAroM xIvAra
para para
akabara akabara
kAlIna kAlIna
kalA kalA
ke kA
namUne namUnA
xeKe xeKa
jA jA
sakawe saka
hEM hE
. .
hAWI hAWI
mahala mahala
, COMMA
xariyA xariyA
KAna KAna
kI kA
majAra majAra
, COMMA
xAI xAI
kA kA
mahala mahala
, COMMA
xAI xAI
kI kA
CotI CotA
bahana bahana
kA kA
mahala mahala
, COMMA
malika malika
maGawa maGawa
kI kA
masjixa masjixa
Ora Ora
jAlI jAlI
mahala mahala
BI BI
xarSanIya xarSanIya
hEM hE
. .
yahAz yahAz
Iko Iko
pOYiMta pOYiMta
para para
paryatakoM paryataka
kI kA
BIdZa BIdZa
lagI laga
hI hI
rahawI raha
hE hE
. .
lohAnI lohAnI
guPAez guPA
Ora Ora
unake vaha
sAmane sAmane
sWiwa sWiwa
sanaseta sanaseta
pOYiMta pOYiMta
BI BI
paryatakoM paryataka
ko ko
KIMcawA KIMca
hE hE
. .
kEse kEse
jAez jA
havAI havAI
mArga mArga
99 99
kimI. kimI.
para para
iMxOra iMxOra
havAI havAI
addA addA
sabase sabase
nikata nikata
hE hE
jo jo
muMbaI muMbaI
, COMMA
xillI xillI
Ora Ora
BopAla BopAla
se se
judZA judZa
hE hE
. .
sadZaka sadZaka
mArga mArga
iMxOra iMxOra
, COMMA
XAra XAra
, COMMA
mahU mahU
, COMMA
ujjEna ujjEna
Ora Ora
BopAla BopAla
se se
niyamiwa niyamiwa
basa basa
sevA sevA
xvArA xvArA
yahAz yahAz
waka waka
pahuzcA pahuzca
jA jA
sakawA saka
hE hE
. .
rela rela
mArga mArga
rawalAma rawalAma
rela rela
muKyAlaya muKyAlaya
( (
124 124
kimI. kimI
) _
muMbaI muMbaI
- -
xillI xillI
muKya muKya
lAina lAina
para para
hE hE
Ora Ora
iMxOra iMxOra
99 99
kimI. kimI.
kI kA
xUrI xUrI
para para
hE hE
. .
kaba kaba
jAez jA
, COMMA
julAI julAI
se se
lekara le
mArca mArca
waka waka
kA kA
samaya samaya
yahAz yahAz
jAne jA
ke ke
lie lie
upayukwa upayukwa
hE hE
. .
viSeRa viSeRa
rUpa rUpa
se se
varRAkAla varRAkAla
meM meM
mAMdU mANdU
kA kA
sOMxarya sOMxarya
behaxa behaxa
rahasyamayI rahasyamayI
ho ho
jAwA jA
hE hE
NULL _
isalie isaliye
bAriSa bAriSa
kA kA
mOsama mOsama
yahAz yahAz
jAne jA
ke ke
lie lie
bilkula bilkula
AxarSa AxarSa
hE hE
. .
isa yaha
samaya samaya
yahAz yahAz
paryatakoM paryataka
kA kA
melA melA
lagA lagA
rahawA raha
hE hE
. .
raNaWamBOra raNaWamBOra
rARtrIya rARtrIya
vanya vanya
jIva jIva
uxyAna uxyAna
UzcI UzcA
pahAdZI pahAdI
para para
pahale pahale
AbAxI AbAxI
se se
BarapUra BarapUra
majabUwa majabUwa
raNaWamBOra raNaWamBOra
kilA kilA
WA WA
jise jo
haWiyAne haWiyA
ke ke
lie lie
eka eka
SAsaka SAsaka
ne ne
walahatI walahatI
meM meM
eka eka
sAla sAla
waka waka
GerA GerA
dAle dAla
raKA raKa
WA WA
. .
kaI kaI
yuxXa yuxXa
Jela Jela
cukA cuka
Ora Ora
kiwane kiwanA
hI hI
rAjA rAjA
Ora Ora
navAboM navAba
ke kA
uwkarRa uwkarRa
Ora Ora
pawana pawana
kA kA
sAkRI sAkRI
rahA raha
raNaWamBOra raNaWamBOra
kilA kilA
samuxra samuxra
kI kA
sawaha sawaha
se se
401 401
mItara mItara
UzcI UzcA
pahAdZI pahAdZI
para para
banA bana
hE hE
. .
kilA kilA
cAroM cAra
waraPa waraPa
arAvalI arAvalI
Ora Ora
viMXyAcala viMXyAcala
parvawamAlAoM parvawamAlA
se se
GirA Gira
hE hE
. .
isakI yaha
walahatI walahatI
meM meM
392 392
vargamItara vargamItara
kRewra kRewra
meM meM
GanA GanA
jaMgala jaMgala
hE hE
jo jo
rARtrIya rARtrIya
vanya vanya
jIva jIva
uxyAna uxyAna
kahalAwA kahalA
hE hE
. .
yahAz yahAz
bAGa bAGa
ke ke
alAvA alAvA
weMxuA wezxuA
, COMMA
hiraNa hiraNa
, COMMA
cIwala cIwala
, COMMA
nIlagAya nIlagAya
, COMMA
jaMgalI jaMgalI
sUara sUara
Ora Ora
kaI kaI
waraha waraha
ke kA
pakRI pakRI
badZI badZA
saMKyA saMKyA
meM meM
hEM hE
. .
kile kilA
Ora Ora
uxyAna uxyAna
waka waka
pahuzcane pahuzca
ke ke
lie lie
siMhaxvAra siMhaxvAra
waka waka
eka eka
hI hI
sadZaka sadZaka
hE hE
. .
isa yaha
kile kilA
kA kA
nirmANa nirmANa
san san
994 994
meM meM
kiyA kara
gayA jA
WA WA
. .
kile kilA
ke ke
aMxara aMxara
mahala mahala
, COMMA
CawariyAz CawarI
, COMMA
POjI POjI
CAvanI CAvanI
, COMMA
hinxU hinxU
- -
jEna jEna
maMxira maMxira
, COMMA
masjixa masjixa
Ora Ora
PakIra PakIra
kI kA
xaragAha xaragAha
ke kA
BI BI
avaSeRa avaSeRa
xeKe xeKa
jA jA
sakawe saka
hEM hE
. .
yahAz yahAz
kA kA
gaNeSa gaNeSa
